EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,accX,accY,accZ,oriX,oriY,oriZ,oriW,gyrX,gyrY,gyrZ,Class,Subject
3,0,-1,-5,-4,-5,-2,3,0.072753906,-0.397460938,0.861328125,-0.155395508,0.20135498,-0.804199219,0.537231445,4.5,-1.625,11.3125,1,1
-2,-5,-9,-1,-3,-7,-5,0,0.05078125,-0.423828125,0.881835938,-0.155029297,0.20135498,-0.803222656,0.538818359,-3,0.25,11.5625,1,1
-3,-3,-5,-4,-3,-2,-3,-4,0.062011719,-0.430175781,0.856445313,-0.155334473,0.201477051,-0.802307129,0.540039063,-4.8125,-1.375,9.3125,1,1
0,-4,-1,-4,0,-4,-6,0,0.041503906,-0.416503906,0.846191406,-0.155944824,0.202575684,-0.801025391,0.541320801,-11.125,-1.75,10.75,1,1
-2,1,-3,-2,-4,-3,-2,-5,0.027832031,-0.495117188,0.880371094,-0.156982422,0.203857422,-0.799743652,0.542419434,-10.3125,-3.1875,8.8125,1,1
-3,2,14,-2,-1,-1,-1,1,0.092285156,-0.497070313,0.875488281,-0.15814209,0.203125,-0.799194336,0.543151855,-0.25,-5.1875,5,1,1
-2,-2,1,1,0,-5,-4,2,0.069335938,-0.436523438,0.856445313,-0.158569336,0.20135498,-0.798828125,0.544250488,3.875,-7,5.6875,1,1
-2,0,-3,0,1,-5,-4,3,-0.002929688,-0.426757813,0.827148438,-0.159790039,0.200500488,-0.797668457,0.545898438,-2.375,-13.5625,7.625,1,1
-5,-4,-9,-5,-5,-2,-3,-3,0.029296875,-0.494140625,0.809570313,-0.163085938,0.200073242,-0.795898438,0.547668457,-6.9375,-20.3125,9.25,1,1
1,1,-9,-5,1,-5,-4,-1,0.076171875,-0.529785156,0.790527344,-0.166687012,0.19909668,-0.794128418,0.549499512,-2.8125,-21.25,9.6875,1,1
2,-3,-3,-2,-1,-1,-1,-1,0.062011719,-0.49609375,0.738769531,-0.169921875,0.19732666,-0.792053223,0.552124023,2.0625,-24.0625,13.25,1,1
1,-4,1,-2,-5,-7,-2,-1,0.069335938,-0.481445313,0.745605469,-0.174377441,0.195800781,-0.78918457,0.555358887,-4.5625,-30.25,18.0625,1,1
1,-2,0,-1,0,-4,-5,-3,0.045410156,-0.56640625,0.728027344,-0.179504395,0.195617676,-0.785644531,0.558837891,-8,-31.8125,20.1875,1,1
2,0,0,2,-3,-2,7,1,0.048828125,-0.547363281,0.701171875,-0.184753418,0.194580078,-0.781433105,0.563354492,-4.5625,-36.75,25.6875,1,1
-5,-1,4,3,-2,-3,0,-6,0.088378906,-0.47265625,0.582519531,-0.191772461,0.193969727,-0.775634766,0.569213867,-13.125,-43.9375,37.25,1,1
2,3,-7,2,14,2,-2,-1,0.088867188,-0.610351563,0.735351563,-0.200622559,0.193725586,-0.768127441,0.57635498,-19.6875,-55.375,46,1,1
-1,1,3,-5,-7,-15,-9,6,0.095214844,-0.728027344,0.720214844,-0.211669922,0.191589355,-0.75970459,0.584228516,-11.6875,-73.25,46.4375,1,1
2,-2,2,2,-1,13,10,-4,0.12890625,-0.599121094,0.731933594,-0.221191406,0.183959961,-0.750915527,0.594482422,11.5,-87.1875,54.4375,1,1
-2,1,11,0,-5,-2,-5,1,0.079589844,-0.572265625,0.627441406,-0.23034668,0.173339844,-0.740112305,0.60760498,22,-103.5,69.75,1,1
-4,-3,1,-4,-9,-1,3,0,0.107421875,-0.467285156,0.336425781,-0.243225098,0.164123535,-0.725830078,0.622192383,3,-119.375,86.5,1,1
0,-2,-3,1,13,-5,-11,1,0.193359375,-0.496582031,0.255859375,-0.25982666,0.161621094,-0.708862305,0.635559082,-41.75,-111.9375,97.375,1,1
